ID,location,total_sqft,bath,balcony
0,Electronic City Phase II,1056,2,1
1,Chikka Tirupathi,2600,5,3
2,Uttarahalli,1440,2,3
3,Lingadheeranahalli,1521,3,1
4,Kothanur,1200,2,1
5,Whitefield,1170,2,1
6,Old Airport Road,2732,4,2
7,Rajaji Nagar,3300,4,1
8,Marathahalli,1310,3,1
9,Gandhi Bazar,1020,6,2
10,Whitefield,1800,2,2
11,Whitefield,2785,5,3
12,7th Phase JP Nagar,1000,2,1
13,Gottigere,1100,2,2
14,Sarjapur,2250,3,2
15,Mysore Road,1175,2,2
16,Bisuvanahalli,1180,3,2
17,Raja Rajeshwari Nagar,1540,3,3
18,Ramakrishnappa Layout,2770,4,2
19,Sarjapur,1100,2,2
20,Raja Rajeshwari Nagar,600,1,1
