total_sqft,bath,balcony,price
1056,2,1,39.07
2600,5,3,120
1440,2,3,62
1521,3,1,95
1200,2,1,51
1170,2,1,38
2732,4,,204
3300,4,,600
1310,3,1,63.25
1020,6,,370
1800,2,2,70
2785,5,3,295
1000,2,1,38
1100,2,2,40
2250,3,2,148
1175,2,2,73.5
1180,3,2,48
1540,3,3,60
2770,4,2,290
1100,2,2,48
600,1,1,15
1755,3,1,122
2800,5,2,380
1767,3,1,103
510,1,0,25.25
1250,3,2,56
660,1,1,23.1
1610,3,2,81
1151,2,2,48.77
1025,2,1,47
2850,4,0,186
1075,2,1,35
1760,2,2,123
1693,3,3,57.39
1925,3,,125
700,2,1,36
1070,2,1,45.5
1724,3,2,125
1290,2,2,56.12
1143,2,2,45
1296,2,,81
1254,3,2,38
600,1,0,38
660,1,0,48
1330.74,2,2,91.79
600,9,,200
970,2,0,33
1459,2,1,94.82
800,1,1,130
869,2,1,36
1270,2,1,50
1670,3,1,99
2010,3,2,91
1185,2,2,75
1600,2,3,75
1200,2,2,44
3410,,,192
1500,2,2,185
1407,4,1,150
840,2,2,45
4395,3,2,240
845,2,1,55
5700,5,3,650
1160,2,2,44
3000,8,0,140
1100,2,1,62
1140,2,3,43
1220,2,1,57
1350,7,0,85
1005,2,1,36.68
500,3,2,100
1358,2,1,80.58
1569,3,1,101
1240,2,1,70
2089,3,2,140
1206,2,1,48.23
1150,2,3,40
2511,3,3,205
460,1,0,22
4400,6,3,250
1660,2,2,105
3450,,,224.5
1326,2,2,78
1325,2,2,60.8
1499,5,2,102
3000,7,2,210
1665,3,2,88
708,2,2,37
1060,2,2,58.06
710,6,3,160
1000,2,2,70
1000,2,1,28.88
1450,2,2,70
1200,4,2,155
1296,2,3,80
1540,3,2,90
2894,4,1,245
1330,2,1,48
1200,2,1,65
1200,3,1,90
2502,3,3,138
650,1,1,17
2400,2,1,150
1007,2,2,43
1200,2,2,50
966,2,2,49.9
1630,2,1,98
1640,3,2,229
782,2,2,55.68
1260,2,2,66.78
1800,3,3,120
1413,2,2,75
1116,2,1,51.91
1530,2,1,45.9
3700,4,1,225
2497,3,2,140
1540,2,3,64
1436,3,1,74.75
1100,2,2,75
276,3,3,23
1427,3,2,120
2061,3,1,200
8156,4,0,477
2650,4,2,150
1282,2,2,68.52
1050,2,1,34
1600,3,2,65
945,2,1,54
1500,2,1,78
950,7,0,115
1870,3,3,110
1600,3,1,75
880,1,1,16.5
1200,4,0,210
1535,3,2,83
950,2,1,57
1360,2,1,65
1105,2,0,54.005
1280,3,1,50.4
1260,2,2,85.05
5000,8,,250
3050,5,1,213
1563.05,3,1,105
1000,2,1,60
1167,2,1,43.76
4000,7,2,225
1828,3,,110
890,2,1,35
1612,3,3,46.74
1034,5,,185
1710,4,2,91.31
957,2,1,58
1250,2,3,44
2795,4,,235
1125,2,2,50
1020,2,1,30.6
1200,2,2,50
1735,3,3,135
2050,3,1,145
3750,4,0,760
1350,2,3,48
1063,2,1,32
1904,3,1,150
4200,4,2,420
2000,3,1,175
